Taxonkey,TaxonName,CommonName,Descript,TaxLevel,ISSCAAP,ISSCAAPName
607430,Plectropomus pessuliferus,Roving coralgrouper,reef-associated >=90 cm                           ,6,33,Redfishes basses congers
607614,Leucoraja circularis,Sandy ray,rays >=90 cm                                      ,6,38,Sharks rays skates etc
607616,Dipturus oxyrinchus,Longnosed skate,rays >=90 cm                                      ,6,38,Sharks rays skates etc
607617,Raja undulata,Undulate ray,rays >=90 cm                                      ,6,38,Sharks rays skates etc
607618,Mobula mobular,Devil fish,rays >=90 cm                                      ,6,38,Sharks rays skates etc
607619,Leucoraja fullonica,Shagreen ray,rays >=90 cm                                      ,6,38,Sharks rays skates etc
607620,Micropogonias furnieri,Whitemouth croaker,demersal 30 - 90 cm                               ,6,33,Redfishes basses congers
607703,Plectorhinchus gaterinus,Blackspotted rubberlips,reef-associated 30 - 90 cm                        ,6,33,Redfishes basses congers
607706,Plectorhinchus schotaf,Minstrel sweetlip,reef-associated 30 - 90 cm                        ,6,33,Redfishes basses congers
607708,Pomadasys stridens,Striped piggy,reef-associated <30 cm                            ,6,33,Redfishes basses congers
607903,Pomacanthus maculosus,Yellowbar angelfish,reef-associated 30 - 90 cm                        ,6,33,Redfishes basses congers
607931,Crenidens crenidens,Karenteen seabream,demersal 30 - 90 cm                               ,6,33,Redfishes basses congers
607945,Pelates quadrilineatus,Fourlined terapon,pelagic 30 - 90 cm                                ,6,33,Redfishes basses congers
608092,Parapristipoma octolineatum,African striped grunt,demersal 30 - 90 cm                               ,6,33,Redfishes basses congers
608166,Rhabdosargus haffara,Haffara seabream,reef-associated 30 - 90 cm                        ,6,33,Redfishes basses congers
608172,Odontesthes regia,Silverside,pelagic <30 cm                                    ,6,37,Mackerels snoeks cutlassfishes
608173,Girella tricuspidata,Luderick,benthopelagic 30 - 90 cm                          ,6,39,Misc Finfishes
608289,Fistularia corneta,Pacific cornetfish,pelagic 30 - 90 cm                                ,6,39,Misc Finfishes
608315,Plectorhinchus pictus,Trout sweetlips,reef-associated 30 - 90 cm                        ,6,33,Redfishes basses congers
608390,Seriolella porosa,Choicy ruff,benthopelagic 30 - 90 cm                          ,6,34,Jacks mullets sauries
608421,Bregmaceros mcclellandi,Spotted codlet,pelagic <30 cm                                    ,6,32,Cods hakes haddocks
608483,Lepidorhynchus denticulatus,Thorntooth grenadier,bathypelagic 30 - 90 cm                           ,6,32,Cods hakes haddocks
608490,Rexea solandri,Silver gemfish,benthopelagic >=90 cm                             ,6,37,Mackerels snoeks cutlassfishes
608540,Aphanopus intermedius,Intermediate scabbardfish,benthopelagic >=90 cm                             ,6,34,Jacks mullets sauries
608556,Pseudopleuronectes herzensteini,Littlemouth flounder,flatfish <90 cm                                   ,6,31,Flounders halibuts soles
608816,Cephalopholis fulva,Coney,reef-associated 30 - 90 cm                        ,6,33,Redfishes basses congers
608852,Solea senegalensis,Senegalese sole,flatfish <90 cm                                   ,6,31,Flounders halibuts soles
608924,Raja asterias,Starry ray,rays <90 cm                                       ,6,38,Sharks rays skates etc
608991,Spectrunculus grandis,Pudgy cuskeel,benthopelagic >=90 cm                             ,6,34,Jacks mullets sauries
609000,Hydrolagus mirabilis,Large-eyed rabbitfish,rays <90 cm                                       ,6,38,Sharks rays skates etc
609005,Rhinochimaera atlantica,Spearnose chimaera,rays >=90 cm                                      ,6,38,Sharks rays skates etc
609146,Neocyttus rhomboidalis,Spiky oreo,bathypelagic 30 - 90 cm                           ,6,34,Jacks mullets sauries
609256,Amblyraja hyperborea,Arctic skate,rays >=90 cm                                      ,6,38,Sharks rays skates etc
609907,Gerres nigri,Guinean striped mojarra,benthopelagic <30 cm                              ,6,33,Redfishes basses congers
609908,Plectorhinchus macrolepis,Biglip grunt,benthopelagic 30 - 90 cm                          ,6,33,Redfishes basses congers
610106,Nemadactylus macropterus,Tarakihi,demersal 30 - 90 cm                               ,6,39,Misc Finfishes
610190,Schedophilus pemarco,Pemarco blackfish,benthopelagic 30 - 90 cm                          ,6,34,Jacks mullets sauries
610220,Arius thalassinus,Giant seacatfish,demersal >=90 cm                                  ,6,33,Redfishes basses congers
610238,Benthosema pterotum,Skinnycheek lanternfish,bathypelagic <30 cm                               ,6,34,Jacks mullets sauries
610256,Lophius vomerinus,Cape monk,demersal 30 - 90 cm                               ,6,34,Jacks mullets sauries
610307,Cheilopogon agoo,Japanese flyingfish,pelagic 30 - 90 cm                                ,6,37,Mackerels snoeks cutlassfishes
610308,Patagonotothen ramsayi,Ramsay's icefish,benthopelagic 30 - 90 cm                          ,6,33,Redfishes basses congers
610676,Cyttus traversi,King dory,bathydemersal 30 - 90 cm                          ,6,34,Jacks mullets sauries
611820,Abudefduf luridus,Canary damsel,reef-associated <30 cm                            ,6,39,Misc Finfishes
612005,Paratrachichthys trailli,Sandpaper fish,bathypelagic <30 cm                               ,6,34,Jacks mullets sauries
612354,Paristiopterus labiosus,Giant boarfish,demersal >=90 cm                                  ,6,39,Misc Finfishes
612357,Pentaceros decacanthus,Bigspined boarfish,bathydemersal <30 cm                              ,6,39,Misc Finfishes
612547,Coregonus muksun,Muksun,benthopelagic 30 - 90 cm                          ,6,23,Salmons trouts smelts
612917,Prolatilus jugularis,Tilefish,demersal 30 - 90 cm                               ,6,39,Misc Finfishes
612918,Seriolella brama,Common warehou,benthopelagic 30 - 90 cm                          ,6,34,Jacks mullets sauries
612919,Seriolella caerulea,White warehou,bathypelagic 30 - 90 cm                           ,6,34,Jacks mullets sauries
612920,Kathetostoma giganteum,Giant stargazer,demersal >=90 cm                                  ,6,39,Misc Finfishes
612922,Seriolella punctata,Silver warehou,benthopelagic 30 - 90 cm                          ,6,34,Jacks mullets sauries
612962,Allocyttus niger,Black oreo,bathypelagic 30 - 90 cm                           ,6,34,Jacks mullets sauries
613025,Sparisoma cretense,Parrotfish,reef-associated 30 - 90 cm                        ,6,33,Redfishes basses congers
613139,Meuschenia scaber,Velvet leatherjacket,demersal 30 - 90 cm                               ,6,39,Misc Finfishes
613144,Zearaja nasuta,New Zealand rough skate,rays >=90 cm                                      ,6,38,Sharks rays skates etc
613146,Hydrolagus novaezealandiae,Dark ghost shark,rays <90 cm                                       ,6,38,Sharks rays skates etc
614063,Mullus argentinae,Argentine goatfish,demersal <30 cm                                   ,6,33,Redfishes basses congers
614129,Centroberyx affinis,Redfish,benthopelagic 30 - 90 cm                          ,6,39,Misc Finfishes
614242,Centriscops humerosus,Banded yellowfish,bathydemersal <30 cm                              ,6,39,Misc Finfishes
614290,Thunnus orientalis,Pacific bluefin tuna,pelagic >=90 cm                                   ,6,36,Tunas bonitos billfishes
614354,Lepidoperca pulchella,Orange perch,demersal <30 cm                                   ,6,33,Redfishes basses congers
614383,Scarus persicus,Gulf parrotfish,benthopelagic 30 - 90 cm                          ,6,33,Redfishes basses congers
614693,Merluccius gayi peruanus,Peruvian hake,bathydemersal 30 - 90 cm                          ,6,32,Cods hakes haddocks
615380,Rhynchobatus australiae,White-spotted shovelnose ray,rays >=90 cm                                      ,6,38,Sharks rays skates etc
615483,Himantura gerrardi,Sharpnose stingray,rays >=90 cm                                      ,6,38,Sharks rays skates etc
624237,Lepidopsetta bilineata,Rock sole,flatfish <90 cm                                   ,6,31,Flounders halibuts soles
628128,Grammoplites suppositus,Spotfin flathead,demersal <30 cm                                   ,6,33,Redfishes basses congers
628143,Peprilus paru,American harvestfish,benthopelagic 30 - 90 cm                          ,6,37,Mackerels snoeks cutlassfishes
646376,Liza klunzingeri,Klunzingers mullet,demersal <30 cm                                   ,6,33,Redfishes basses congers
646941,Coregonus laurettae,Bering cisco,pelagic 30 - 90 cm                                ,6,23,Salmons trouts smelts
649232,Capromimus abbreviatus,Capro dory,bathydemersal <30 cm                              ,6,34,Jacks mullets sauries
650136,Pseudopercis semifasciata,Argentinian sandperch,demersal >=90 cm                                  ,6,39,Misc Finfishes
657505,Bathyraja irrasa,Kerguelen sandpaper skate,rays <90 cm                                       ,6,38,Sharks rays skates etc
657506,Chelon haematocheilus,So-iny (redlip) mullet,demersal 30 - 90 cm                               ,6,33,Redfishes basses congers
690003,Pandalus montagui,Aesop shrimp,shrimp                                            ,6,45,Shrimps prawns
690005,Acetes japonicus,Akiami paste shrimp,shrimp                                            ,6,45,Shrimps prawns
690009,Crassostrea virginica,American cupped oyster,demersal mollusc                                  ,6,53,Oysters
690010,Homarus americanus,American lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690011,Placopecten magellanicus,American sea scallop,demersal mollusc                                  ,6,55,Scallops pectens
690013,Metanephrops andamanicus,Andaman lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690016,Euphausia superba,Antarctic krill,krill                                             ,6,46,Krill planktonic crustaceans
690018,Paralomis spinosissima,Antarctic stone crab,lobsters crab                                     ,6,44,Craylets squat lobsters
690022,Pleoticus muelleri,Argentine red shrimp,shrimp                                            ,6,45,Shrimps prawns
690023,Illex argentinus,Argentine shortfin squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690024,Artemesia longinaris,Argentine stiletto shrimp,shrimp                                            ,6,45,Shrimps prawns
690029,Ensis directus,Atlantic razor clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690030,Argopecten irradians,Atlantic bay scallop,demersal mollusc                                  ,6,55,Scallops pectens
690031,Cancer irroratus,Atlantic rock crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690032,Xiphopenaeus kroyeri,Atlantic seabob,shrimp                                            ,6,45,Shrimps prawns
690033,Spisula solidissima,Atlantic surf clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690036,Mytilus planulatus,Australian mussel,demersal mollusc                                  ,6,54,Mussels
690039,Panulirus cygnus,Australian spiny lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690042,Fenneropenaeus merguiensis,Banana prawn,shrimp                                            ,6,45,Shrimps prawns
690043,Pollicipes pollicipes,Barnacle,demersal mollusc                                  ,6,47,Marine crustaceans nei
690047,Menippe mercenaria,Black stone crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690049,Haliotis rubra,Blacklip abalone,demersal mollusc                                  ,6,52,Abalones winkles conchs
690050,Anadara granosa,Blood cockle,demersal mollusc                                  ,6,56,Clams cockles arkshells
